smiles,prediction,hit_id,cd_formula,cd_molweight,Cluster,MurckoScaffold,Index,Score,source_file
FC(F)(F)c1cccc(c1)N1CCN(Cn2nc(nc2S)C2CC2)CC1,0.99640369,TITAN105968872,C17H20F3N5S,383.44,3045717,c1ccc(N2CCN(Cn3cnc(C4CC4)n3)CC2)cc1,132825,1.0,split_018_merged_output.csv
FCC1CCCN(C1)C(=O)c1cc2nc(cc(C(F)F)n2n1)C1CC1,0.99636346,TITAN218973801,C17H19F3N4O,352.361,1591705,O=C(c1cc2nc(C3CC3)ccn2n1)N1CCCCC1,351397,0.99,split_016_merged_output.csv
CN1CCN(CC1)C1CCN(CC1)c1nc(NCc2cn3cc(Br)ccc3n2)c2sccc2n1,0.99626356,TITAN214716339,C24H29BrN8S,541.52,2070713,c1ccn2cc(CNc3nc(N4CCC(N5CCNCC5)CC4)nc4ccsc34)nc2c1,318699,0.99,split_011_merged_output.csv
C1CCC(CC1)N1CCN(CC1)c1nc2ccccc2c2nc(nn12)-c1ccccc1,0.99626082,TITAN107571994,C25H28N6,412.541,2517349,c1ccc(-c2nc3c4ccccc4nc(N4CCN(C5CCCCC5)CC4)n3n2)cc1,67602,0.99,split_021_merged_output.csv
CCc1nn(C)c(Cl)c1CN1CCN(CC1)C1Cc2ccccc2C1,0.99618596,TITAN106818260,C20H27ClN4,358.91,2620145,c1ccc2c(c1)CC(N1CCN(Cc3cn[nH]c3)CC1)C2,181023,0.99,split_016_merged_output.csv
CCCC(N(Cc1cc2c(C)cc(C)cc2[nH]c1=O)C1CCCC1)c1nnnn1C1CCCC1,0.99612951,TITAN212155454,C27H38N6O,462.642,9158,O=c1[nH]c2ccccc2cc1CN(Cc1nnnn1C1CCCC1)C1CCCC1,355614,1.0,split_008_merged_output.csv
COc1cc(ncn1)N(C1CC1)C1CCN(CC1)c1ncccc1C#N,0.99606711,TITAN217880455,C19H22N6O,350.426,1162003,c1ccc(N2CCC(N(c3ccncn3)C3CC3)CC2)nc1,432056,1.0,split_005_merged_output.csv
CCn1c(CN2CCc3c(Cl)cccc3C2)nnc1C1CC(N)C1,0.99603903,TITAN100755973,C18H24ClN5,345.88,350746,c1ccc2c(c1)CCN(Cc1nnc(C3CCC3)[nH]1)C2,434272,1.0,split_007_merged_output.csv
CCCN(C(=O)c1cccc(C)c1)c1nnc(s1)-c1cccc(F)c1,0.99599874,TITAN212188753,C19H18FN3OS,355.43,633,O=C(Nc1nnc(-c2ccccc2)s1)c1ccccc1,344674,0.99,split_008_merged_output.csv
CC(C)c1nc(C)cc(n1)N1CCC(CC1)N(C)Cc1cn(CC2CCN(Cc3ccccc3)C2)nn1,0.99588495,TITAN215461823,C29H42N8,502.711,822882,c1ccc(CN2CCC(Cn3cc(CNC4CCN(c5ccncn5)CC4)nn3)C2)cc1,130675,1.0,split_004_merged_output.csv
CCCN(CC1CCCNC1)Cc1nc2cc(Cl)ccc2c(=O)[nH]1,0.99585992,TITAN216698797,C18H25ClN4O,348.88,3457831,O=c1[nH]c(CNCC2CCCNC2)nc2ccccc12,308207,0.99,split_021_merged_output.csv
Cc1ccc(C#N)c(n1)N1CCC(CC1)n1cc(CN2CC[C@@H](O)C2)nn1,0.99583226,TITAN106699037,C19H25N7O,367.457,367170,c1ccc(N2CCC(n3cc(CN4CCCC4)nn3)CC2)nc1,275119,1.0,split_015_merged_output.csv
CC(C)N1CCN(CC#CCOC2CCN(CC2)c2ccc(Cl)cn2)CC1,0.99582601,TITAN211971793,C21H31ClN4O,390.96,2972939,C(#CCN1CCNCC1)COC1CCN(c2ccccn2)CC1,234845,1.0,split_017_merged_output.csv
CN(C)CCN(Cc1ccccc1F)C(C1CC2CCC(C1)O2)c1nnnn1CC(C)=C,0.99574727,TITAN217863960,C24H35FN6O,442.583,1156082,c1ccc(CNC(c2nnn[nH]2)C2CC3CCC(C2)O3)cc1,419046,1.0,split_005_merged_output.csv
O=C(N1CCN(CCC#N)CC1)c1cc2cn(cc2s1)C1CC1,0.99561137,TITAN212642154,C17H20N4OS,328.43,799614,O=C(c1cc2cn(C3CC3)cc2s1)N1CCNCC1,141592,0.99,split_015_merged_output.csv
CCCN(CCN1CCN(CC)CC1)C(=O)c1sccc1C1CC1,0.99560934,TITAN101280542,C19H31N3OS,349.54,2886151,O=C(NCCN1CCNCC1)c1sccc1C1CC1,377488,0.99,split_021_merged_output.csv
Cc1nn(C)cc1CN1CCCC1c1nc(C)c2CCC(=O)N(CC3CCCCC3)c2n1,0.99560887,TITAN212253755,C25H36N6O,436.604,35161,O=C1CCc2cnc(C3CCCN3Cc3cn[nH]c3)nc2N1CC1CCCCC1,155436,1.0,split_021_merged_output.csv
COc1ccc(cc1)-n1c(SCC(=O)Nc2ccc(F)cc2)nc2ccccc2c1=O,0.99556941,TITAN101971987,C23H18FN3O3S,435.47,7267,O=C(CSc1nc2ccccc2c(=O)n1-c1ccccc1)Nc1ccccc1,108681,0.99,split_003_merged_output.csv
CCN(C(=O)C1CCN(CC1)c1ccc(F)cc1C#N)c1ccc2[nH]c(=O)[nH]c2c1,0.99556386,TITAN214695824,C22H22FN5O2,407.449,2059267,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)C1CCN(c2ccccc2)CC1,300768,0.99,split_011_merged_output.csv
C[C@H]1CN(Cc2cn(nn2)-c2ccc(F)c(Cl)c2)CCN1,0.9955551,TITAN215898309,C14H17ClFN5,309.77,234031,c1ccc(-n2cc(CN3CCNCC3)nn2)cc1,487557,0.99,split_019_merged_output.csv
CCCC(=O)N(C1CCN(Cc2ccc(cc2)N(=O)=O)CC1)c1ccc(C)c(F)c1,0.99535275,TITAN218415731,C23H28FN3O3,413.493,22852,c1ccc(CN2CCC(Nc3ccccc3)CC2)cc1,475714,0.99,split_010_merged_output.csv
CCn1nnc2cc(ccc12)-c1noc(n1)C12CC3CC(CC(C3)C1)C2,0.99528801,TITAN106827191,C20H23N5O,349.438,1649032,c1cc2[nH]nnc2cc1-c1noc(C23CC4CC(CC(C4)C2)C3)n1,199166,0.99,split_020_merged_output.csv
CCN(CC(=O)Nc1c(F)cccc1F)C(=O)C1CCN(CC1)C(=O)c1ccc(F)cc1,0.99522614,TITAN102035023,C23H24F3N3O3,447.458,97312,O=C(CNC(=O)C1CCN(C(=O)c2ccccc2)CC1)Nc1ccccc1,52815,0.99,split_012_merged_output.csv
CN1CCN(Cc2nnc(C3CC3)n2C)CC1c1nc(no1)C1CC1,0.99507207,TITAN100329055,C17H25N7O,343.435,643439,C1CN(Cc2nnc(C3CC3)[nH]2)CC(c2nc(C3CC3)no2)N1,292363,1.0,split_003_merged_output.csv
